node_id,node_type,label,source_statement,confidence
action::report,action,report,S272,0.5
action::access,action,access,S276,0.5
feature::portal,feature,portal,S280,0.5
action::update,action,update,S280,0.5
actor::referee,actor,referee,S285,0.5
action::update,action,update,S285,0.5
constraint::only,constraint,only,S285,0.5
quality attribute::reliable,quality attribute,reliable,S286,0.5
actor::referee,actor,referee,S288,0.5
actor::referees,actor,referees,S288,0.5
constraint::only,constraint,only,S288,0.5
actor::fan,actor,fan,S290,0.5
actor::fans,actor,fans,S290,0.5
feature::portal,feature,portal,S291,0.5
quality attribute::performance,quality attribute,performance,S296,0.5
actor::fan,actor,fan,S298,0.5
actor::fans,actor,fans,S298,0.5
actor::fan,actor,fan,S299,0.5
actor::fans,actor,fans,S299,0.5
feature::notification,feature,notification,S299,0.5
actor::fan,actor,fan,S301,0.5
actor::fans,actor,fans,S301,0.5
action::register,action,register,S301,0.5
actor::team,actor,team,S305,0.5
feature::report,feature,report,S305,0.5
action::report,action,report,S305,0.5
actor::team,actor,team,S306,0.5
actor::team_manager,actor,team manager,S306,0.5
actor::ifa,actor,ifa,S306,0.5
feature::report,feature,report,S306,0.5
action::manage,action,manage,S306,0.5
action::report,action,report,S306,0.5
feature::notification,feature,notification,S307,0.5
feature::budget,feature,budget,S308,0.5
action::register,action,register,S310,0.5
action::access,action,access,S313,0.5
constraint::should,constraint,should,S313,0.5
quality attribute::fast,quality attribute,fast,S313,0.5
quality attribute::fast,quality attribute,fast,S314,0.5
quality attribute::performance,quality attribute,performance,S314,0.5
quality attribute::response_time,quality attribute,response time,S315,0.5
actor::team,actor,team,S318,0.5
actor::team_administration,actor,team administration,S318,0.5
actor::fan,actor,fan,S318,0.5
actor::fans,actor,fans,S318,0.5
actor::ifa,actor,ifa,S318,0.5
actor::ifa_administrative,actor,ifa administrative,S318,0.5
actor::referee,actor,referee,S319,0.5
actor::referees,actor,referees,S319,0.5
actor::referee,actor,referee,S320,0.5
actor::referees,actor,referees,S320,0.5
constraint::should,constraint,should,S321,0.5
constraint::real_time,constraint,real time,S321,0.5
quality attribute::fast,quality attribute,fast,S321,0.5
quality attribute::responsive,quality attribute,responsive,S321,0.5
actor::referee,actor,referee,S323,0.5
constraint::should,constraint,should,S323,0.5
feature::report,feature,report,S324,0.5
action::report,action,report,S324,0.5
constraint::should,constraint,should,S324,0.5
actor::user,actor,user,S325,0.5
actor::referee,actor,referee,S328,0.5
actor::referee,actor,referee,S329,0.5
action::notify,action,notify,S329,0.5
actor::referee,actor,referee,S331,0.5
actor::referee,actor,referee,S332,0.5
action::update,action,update,S332,0.5
constraint::real_time,constraint,real time,S332,0.5
actor::referee,actor,referee,S335,0.5
actor::team,actor,team,S340,0.5
actor::ifa,actor,ifa,S341,0.5
actor::ifa,actor,ifa,S344,0.5
constraint::should,constraint,should,S347,0.5
action::view,action,view,S354,0.5
constraint::should,constraint,should,S359,0.5
actor::team,actor,team,S361,0.5
constraint::should,constraint,should,S361,0.5
action::define,action,define,S364,0.5
constraint::should,constraint,should,S364,0.5
constraint::should,constraint,should,S365,0.5
feature::budget,feature,budget,S368,0.5
quality attribute::security,quality attribute,security,S368,0.5
feature::budget,feature,budget,S369,0.5
constraint::should,constraint,should,S369,0.5
quality attribute::encrypted,quality attribute,encrypted,S369,0.5
actor::player,actor,player,S373,0.5
actor::players,actor,players,S373,0.5
actor::fan,actor,fan,S374,0.5
actor::fans,actor,fans,S374,0.5
action::access,action,access,S374,0.5
actor::player,actor,player,S376,0.5
action::update,action,update,S376,0.5
action::manage,action,manage,S378,0.5
feature::portal,feature,portal,S380,0.5
actor::player,actor,player,S382,0.5
actor::players,actor,players,S382,0.5
actor::player,actor,player,S383,0.5
actor::players,actor,players,S383,0.5
feature::budget,feature,budget,S383,0.5
feature::budgeting,feature,budgeting,S383,0.5
actor::team,actor,team,S388,0.5
actor::ifa,actor,ifa,S394,0.5
feature::schedule,feature,schedule,S397,0.5
action::schedule,action,schedule,S397,0.5
actor::team,actor,team,S399,0.5
actor::referee,actor,referee,S399,0.5
actor::referees,actor,referees,S399,0.5
actor::fan,actor,fan,S399,0.5
actor::fans,actor,fans,S399,0.5
action::register,action,register,S399,0.5
constraint::should,constraint,should,S400,0.5
actor::referee,actor,referee,S402,0.5
feature::budget,feature,budget,S402,0.5
feature::scheduling,feature,scheduling,S402,0.5
action::update,action,update,S402,0.5
constraint::real_time,constraint,real time,S402,0.5
feature::budget,feature,budget,S404,0.5
feature::budgeting,feature,budgeting,S404,0.5
feature::scheduling,feature,scheduling,S404,0.5
actor::ifa,actor,ifa,S405,0.5
constraint::should,constraint,should,S405,0.5
constraint::should,constraint,should,S410,0.5
actor::team,actor,team,S417,0.5
feature::budget,feature,budget,S417,0.5
feature::budgeting,feature,budgeting,S417,0.5
actor::ifa,actor,ifa,S421,0.5
actor::ifa_representative,actor,ifa representative,S421,0.5
feature::budget,feature,budget,S421,0.5
feature::scheduling,feature,scheduling,S421,0.5
action::view,action,view,S421,0.5
constraint::only,constraint,only,S425,0.5
actor::team,actor,team,S427,0.5
actor::referee,actor,referee,S427,0.5
actor::referees,actor,referees,S427,0.5
actor::fan,actor,fan,S427,0.5
actor::fans,actor,fans,S427,0.5
actor::player,actor,player,S427,0.5
actor::players,actor,players,S427,0.5
actor::ifa,actor,ifa,S427,0.5
actor::player,actor,player,S429,0.5
actor::players,actor,players,S429,0.5
action::manage,action,manage,S429,0.5
action::register,action,register,S437,0.5
constraint::should,constraint,should,S437,0.5
actor::user,actor,user,S439,0.5
actor::team,actor,team,S444,0.5
action::register,action,register,S444,0.5
actor::team,actor,team,S445,0.5
actor::team_manager,actor,team manager,S445,0.5
actor::ifa,actor,ifa,S445,0.5
feature::registration,feature,registration,S445,0.5
action::manage,action,manage,S445,0.5
action::approve,action,approve,S445,0.5
actor::team,actor,team,S446,0.5
actor::player,actor,player,S446,0.5
actor::players,actor,players,S446,0.5
action::manage,action,manage,S446,0.5
feature::scheduling,feature,scheduling,S449,0.5
constraint::should,constraint,should,S451,0.5
constraint::should,constraint,should,S452,0.5
actor::referee,actor,referee,S459,0.5
actor::referees,actor,referees,S459,0.5
feature::budget,feature,budget,S459,0.5
feature::scheduling,feature,scheduling,S459,0.5
action::register,action,register,S459,0.5
action::define,action,define,S459,0.5
constraint::should,constraint,should,S459,0.5
actor::referee,actor,referee,S464,0.5
actor::referees,actor,referees,S464,0.5
actor::player,actor,player,S464,0.5
actor::players,actor,players,S464,0.5
actor::ifa,actor,ifa,S464,0.5
action::register,action,register,S464,0.5
actor::referee,actor,referee,S466,0.5
actor::referees,actor,referees,S466,0.5
actor::ifa,actor,ifa,S466,0.5
actor::referee,actor,referee,S467,0.5
actor::player,actor,player,S467,0.5
actor::players,actor,players,S467,0.5
action::insert,action,insert,S467,0.5
actor::team,actor,team,S468,0.5
action::audit,action,audit,S471,0.5
actor::team,actor,team,S474,0.5
actor::referee,actor,referee,S474,0.5
actor::player,actor,player,S474,0.5
actor::players,actor,players,S474,0.5
action::manage,action,manage,S474,0.5
action::assign,action,assign,S485,0.5
